date,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty
2013-07-15,CLVS,EVC,ACAD,XRM,REGI,AXDX,MTG,PCO,VNDA,TSLA,TOWR,LWAY,OWW,GST,IQNT,IDT,WBMD,FOE,GTN,ALIM
2013-07-31,FXEN,MBI,MTG,WLT,IQNT,RVLT,JAKK,GCAP,GST,INFN,GDOT,NLS,CLVS,CPSS,EHTH,HMPR,SCTY,HCI,CTB,TSLA
2013-08-15,BEAT,INO,CLFD,USAK,DVAX,BCRX,IDRA,PTIE,PLUG,PEIX,SNMX,RTK,NBS,NYNY,HILL,ARWR,BALT,DXYN,MPAA,CUR
2013-08-30,FRO,VCRA,OSIR,WLH,CBB,SNTA,ANV,INFI,COB,PTIE,PLUG,TSRE,DVAX,CETV,ZIOP,EXPE,NMRX,UNIS,PTX,MACK
2013-09-13,OSIR,GCAP,RVLT,PLUG,JAKK,HMPR,EHTH,TSLA,IQNT,MTG,CLVS,HNR,INO,ZQK,OCLR,AFH,CTB,IBCP,CLFD,OWW
2013-09-30,OSIR,INO,JAKK,CRRS,ANV,RVLT,CTB,PACB,GCAP,HMPR,XCRA,AAMC,EHTH,XOOM,OCLR,OMER,MRGE,SCTY,TREE,CPSS
2013-10-15,OSIR,LEE,INO,EVC,IQNT,OWW,CRRS,PLUG,CLFD,IDT,RVLT,SCTY,OSTK,ANV,BCRX,PPC,YELP,LMOS,PACB,AFOP
2013-10-31,AGN,AFAM,PFE,MMM,PCYG,SO,SYK,JNJ,XOM,AHL,LLY,WLH,MRK,COV,BIO,BDX,DVA,NVEC,ABT,CVS
2013-11-15,MMM,MRK,PFE,JNJ,SYK,BDX,ADP,AGN,LLY,BIO,HSIC,GLRI,XRAY,PLL,DUK,INTU,UPS,CVS,KMB,PDCO
2013-11-29,PLUG,CECO,GCAP,SYUT,AAMC,EHTH,HCI,WRLD,XOOM,GDOT,BOFI,TREE,NSM,PHH,DVAX,HNR,NYNY,CIA,SCTY,ZQK
2013-12-13,AAMC,GCAP,PLUG,WD,SYUT,CPSS,PACB,MEI,PRKR,GDOT,HNR,CRRS,YRCW,CYNI,LQDT,SQNM,NSM,MODN,WRLD,ANV
2013-12-31,GERN,PLUG,PRKR,AAMC,GCAP,CECO,IQNT,EHTH,CRRS,SHOR,RVLT,UVE,OCLR,XOOM,ARIA,TAT,LTS,LMOS,CLFD,GDOT
2014-01-15,GCAP,AAMC,EHTH,PLUG,GDOT,AFSI,ARCW,WD,PRKR,NSM,CRRS,RCAP,YRCW,PEIX,XOOM,ANV,AMBC,CPSS,CYNI,HMPR
2014-01-31,CECO,AAMC,EHTH,UVE,SYUT,GOGO,GDOT,IQNT,LTS,SHOR,CLFD,CETV,GCAP,NYNY,IBCP,GTT,VG,DECK,GTN,INFN
2014-02-14,CCXI,GLRI,AEPI,RDNT,SKH,BLUE,FBP,BIOS,OVAS,UAM,LXRX,OFIX,CMRX,ACHN,CYTK,INFI,RTIX,TGTX,AGEN,NAVB
2014-02-28,VNDA,SYUT,OMED,PLUG,NATL,GCAP,INWK,YRCW,AFSI,CETV,PERY,NSM,ARCW,AAMC,MEI,TRMR,SQNM,PTX,LMIA,BLOX
2014-03-14,PLUG,AAMC,EHTH,NATL,GCAP,YRCW,RCAP,UVE,HCI,RVLT,HAWK,CETV,SYUT,OMED,WRLD,AFSI,SKUL,HEAR,LTS,ARCW
