date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2012-12-31,SRPT,ACAD,DVAX,CBK,PPHM,BONT,INSM,OSTK,NWBO,RVLT,BGFV,CPSS,BDBD,FSLR,GNMK,CYTX,INFI,SNTA,GPOR,KERX
2013-01-15,DVAX,SRPT,CBK,CPSS,ACAD,FSLR,BONT,OSTK,GPOR,GNMK,PPHM,INFI,IDCC,BGFV,GMCR,INSM,AXLL,SWHC,AMRI,CONN
2013-01-31,ACT,ENT,DCT,PEP,XOM,ROIC,SIAL,JNJ,L,K,CLX,AFG,MMM,SYY,MMC,NNN,EGP,BMS,MAA,GIS
2013-02-15,DVAX,DCT,JNJ,ROIC,ED,PEP,XOM,CFR,PRK,MCD,WABC,LH,PCG,CLI,SIAL,MAA,L,HE,BXP,SCG
2013-02-28,JNJ,XOM,MMM,ROIC,PEP,CVX,L,ESS,SIAL,FRT,K,MAA,SPG,PSB,SON,NEE,ED,CNL,ARE,BOH
2013-03-15,DVAX,ACAD,RVLT,KERX,PPHM,PRKR,NFLX,RPRX,ZGNX,DCT,MTG,SPPI,CZR,SVU,ESI,CPSS,VHC,HLF,SRPT,DECK
2013-03-28,JNJ,FRT,XOM,MMM,ED,L,K,ARE,CVX,SO,PNW,SPG,SCG,DUK,PSB,SIAL,POR,XEL,LNT,CNL
2013-04-15,DVAX,ESI,SKUL,PPHM,AT,FXEN,VVUS,CALL,BV,MCP,IQNT,BCOV,CTIC,JCP,LQDT,ANV,CRUS,RMTI,CLF,FRO
2013-04-30,CPSS,NLS,MTG,AMRI,AEGR,NFLX,ADUS,VRTS,GMCR,CSV,ADNC,RDN,RJET,USCR,PBYI,ALK,THC,GNW,EVC,SRPT
2013-05-15,TMUS,CFFN,XOM,SO,ARE,FRT,ED,L,EGP,CVX,BOKF,ACE,AFG,USB,DHR,CB,TMK,WABC,CFR,SIAL
2013-05-31,CFFN,CB,XOM,ACE,SO,L,BCR,AFG,SON,BOKF,TMK,CVX,WRB,NFBK,CFR,WABC,USB,ATR,AME,ED
2013-06-14,VRTS,PFG,TMK,AFG,IFF,AJG,CR,CB,PTP,BDX,CINF,SEIC,GEO,BKH,CHFN,ADP,JNJ,WM,HCC,UTX
2013-06-28,DVAX,DCT,CLF,X,PHH,HLF,WLT,CRR,LQDT,RGR,PPO,HPY,WRLD,TITN,SWHC,BRLI,SQNM,MWW,SPPI,VRA
2013-07-15,DVAX,DCT,SPPI,CLF,X,RGR,PHH,LQDT,BRLI,CRR,SWHC,VRA,TITN,WLT,FTR,EQIX,HPY,PPO,STRA,HLF
2013-07-31,XOM,L,CFFN,CVX,SO,SIAL,CTAS,MMC,COP,NWN,CB,ATR,PDCO,HCC,AFG,NFBK,IFF,CHFN,SON,COL
2013-08-15,OSIR,CLVS,IQNT,YRCW,UNIS,VNDA,INFI,SNTA,FXEN,SCTY,INSY,ANV,CYTK,OWW,MRGE,TSRO,FRO,RVLT,FDML,ZLTQ
2013-08-30,YRCW,RVLT,ACAD,TSLA,IQNT,AIQ,XRM,AEGR,MTG,MNKD,GST,OWW,CLDX,EVC,PRTA,NXST,USNA,LCI,BEAT,LGND
2013-09-13,MMM,L,SIAL,XOM,CTAS,AHL,MMC,PCAR,NWN,CB,XRAY,CVX,SYK,ATR,ITW,CFFN,CLX,AFG,SO,WMT
2013-09-30,DVAX,MMM,CTAS,VRSN,CVA,SIAL,CLX,PCAR,AEL,L,PLL,AFG,MMC,CINF,NTAP,XRAY,LLL,SRCL,AMP,DNB
2013-10-15,DVAX,TITN,CHE,RHP,EQIX,DCT,VRSN,BGG,POR,NWN,CLX,OLN,RGS,CVA,TFX,WCC,NRF,HE,NPK,RCII
2013-10-31,DVAX,BCRX,OSIR,INO,CRRS,IQNT,IDRA,OMER,PLUG,AAMC,BEAT,PACB,STML,RMTI,TSLA,ARIA,GERN,PRKR,VNDA,ACAD
2013-11-15,OSIR,DVAX,VNDA,INO,OMER,GERN,PRKR,IDRA,ARIA,PACB,BCRX,PLUG,SRPT,ARCW,IQNT,CRRS,YRCW,BEAT,RVLT,INSY
2013-11-29,GLRI,MCD,MKL,KO,HCC,WRB,AFG,CB,AHL,L,HTBI,WTM,TRV,ACGL,MMM,CVX,WMT,CINF,PX,PEP
2013-12-13,AMP,AFG,GLRI,PFG,CTAS,AFL,IEX,HII,JKHY,AWH,EMR,FISV,UPS,CA,TSS,LEA,MMC,INTU,TMK,MTX
2013-12-31,DVAX,GLRI,CACI,L,MKL,MCD,POM,CINF,VRSN,NWN,LEG,WFC,RCII,HCC,BDX,CVX,ACGL,POR,WR,WRB
2014-01-15,AFG,AMP,MMC,EMR,CINF,TMK,IEX,L,FISV,MKL,INTU,PFG,UPS,CBT,HCC,PX,CNA,WFC,JKHY,TRV
2014-01-31,MCD,HCC,CTO,Y,K,UBA,L,RSG,MKL,SO,SCG,KIM,PRA,ACC,CINF,XEL,POM,PEP,WMT,PCG
2014-02-14,DVAX,PLUG,ARCW,IDRA,BCRX,ARWR,AAMC,GALE,ANIP,ZLTQ,HZNP,GERN,SNMX,CYTR,LBMH,CTIC,INSY,ZGNX,ANAC,INCY
2014-02-28,DVAX,KATE,MSA,GLRI,AFG,TMK,AME,UPS,WFC,MAR,ATR,MMC,HON,AMP,ROP,ITW,UTX,BDX,DHR,CA
2014-03-14,GLRI,Y,AFG,TMK,MTB,UPS,HCC,WFC,CB,AME,AFL,WMT,K,BAX,CSBK,HCBK,ATR,SLGN,CIT,NDSN
2014-03-31,DVAX,BPTH,HZNP,ARCW,PLUG,ANIP,ARWR,LCI,TXMD,PVA,USAK,OCLR,XCRA,CTIC,SUNE,MPAA,ILMN,AAL,CECO,CAR
2014-04-15,PLUG,XXII,ARWR,PEIX,BPTH,HZNP,ANIP,ARCW,IDRA,RTRX,NBIX,RGDO,CTIC,ECYT,SNMX,FCEL,PTX,OHRP,AAMC,TXMD
2014-04-30,PLUG,ECYT,PEIX,RTRX,XXII,NBIX,PTX,GERN,MNKD,EPZM,CETV,CYTK,IDRA,ARCW,TRXC,ARWR,RGDO,ANIP,AGIO,HZNP
2014-05-15,PLUG,GHM,ARCW,PEIX,HZNP,VTNR,ATNM,CECO,XXII,GTT,WLB,SNMX,AAOI,BAS,IG,CWEI,NYNY,RCAP,REX,ANIP
2014-05-30,PLUG,ECYT,PTX,PEIX,DVAX,XXII,MNKD,CETV,GERN,RTRX,CYTK,CORT,TRXC,POWR,MACK,GTIV,BLOX,AGIO,OHRP,RGDO
2014-06-13,L,AFG,HCC,WTM,HON,ACGL,ACE,ATR,PM,CB,TMK,RSG,UPS,MMC,CINF,GE,TRV,HSIC,ADP,TROW
2014-06-30,FNF,SIAL,CMO,AFG,MMM,UNP,ITW,TMK,HON,ALL,ACE,RSG,CTAS,HCC,HRS,MMC,APH,SON,UPS,BMS
2014-07-15,RDNT,PEIX,YRCW,WLB,PES,ALIM,GLPW,PAH,AMKR,TK,UNP,KRNY,NBR,DYN,GD,SE,MFA,LUV,EXR,MMM
2014-07-31,PBYI,KPTI,ACHN,PRKR,POWR,ECYT,CYTK,RGDO,TRXC,CORT,OHRP,GTIV,MACK,XXII,GIMO,WWE,CLDX,ZQK,ACRX,TXMD
2014-08-15,SWY,MFA,SIAL,ARE,UNP,BMR,AIV,RSG,ESS,DRE,CMO,SE,UDR,KRC,MMM,SPG,MAR,VNO,ANH,FRT
2014-08-29,DVAX,STL,RM,NILE,AVD,CRCM,UTIW,SQI,ACXM,CVLT,ZGNX,GEOS,IMPV,FHCO,KBR,RGR,SEAC,BCOR,CGI,UNIS
2014-09-15,ACXM,RM,NGVC,SQI,FNGN,KBR,CCO,SCL,KELYA,WWE,BCOR,IILG,WDR,BECN,GEOS,CLGX,BGC,CRCM,AVD,SEAC
2014-09-30,PBYI,ACHN,KPTI,VRNG,QRHC,RGDO,PRKR,EXEL,ESI,TRLA,VHC,RDNT,MBII,PTX,ACRX,TGTX,VTNR,OHRP,RCPT,BLUE
2014-10-15,PBYI,DVAX,ESI,WLT,VRNG,EXEL,PRKR,RGDO,CLF,VHC,MCP,GDP,ARWR,AUXL,MBII,XONE,SNSS,CONN,ACRX,AEGR
2014-10-31,PBYI,ACHN,VDSI,TTPH,BDSI,RDNT,AMAG,ESPR,PTCT,EXAS,AGIO,DVAX,MACK,OVAS,RCPT,SNSS,IG,TGTX,PTSI,GTIV
2014-11-14,DVAX,WLT,EBIX,DCT,MYGN,PHH,LNN,NSR,OUTR,VVUS,CLF,WRLD,GDP,GME,SFY,ECPG,JAKK,KEYW,CONN,DDD
2014-11-28,ESI,VRNG,SNSS,WLT,MBII,GDP,RPRX,ANV,DVAX,VHC,RGDO,BBSI,EXXI,CLF,MCP,EXEL,ANR,PHMD,SZYM,SRPT
2014-12-15,MCF,SNSS,BPZ,RGDO,MBII,ESI,ANV,RPRX,PTIE,QRHC,SZYM,AMZG,CYTX,FRO,GDP,BBSI,MCHX,MPO,CVEO,ATEN
2014-12-31,DVAX,NSR,GME,PHH,EBIX,ECPG,MYGN,WRLD,LNN,ICON,SAFM,ALB,PETS,SPPI,OUTR,JAKK,GNRC,VMI,GY,Z
