date,forecast
1974-02-01,-0.0388463732
1974-03-01,0.0210240019
1974-04-01,-0.0136922998
1974-05-01,-0.0298406548
1974-06-01,-0.0243312149
1974-07-01,-0.0271728812
1974-08-01,-0.0405522548
1974-09-01,-0.0205899687
1974-10-01,-0.0154235984
1974-11-01,-0.0041106494
1974-12-01,-0.0044034692
1975-01-01,-0.0065354263
1975-02-01,0.0322116971
1975-03-01,0.0016424581
1975-04-01,0.0228211793
1975-05-01,0.050378491
1975-06-01,0.0323406235
1975-07-01,0.0162976076
1975-08-01,0.0100077244
1975-09-01,0.0101308055
1975-10-01,0.003517003
1975-11-01,0.0126156657
1975-12-01,0.0209723361
1976-01-01,0.0136210605
1976-02-01,0.0148893654
1976-03-01,0.0240927851
1976-04-01,0.0126703613
1976-05-01,0.0142051318
1976-06-01,0.0079280541
1976-07-01,0.0118758711
1976-08-01,0.0175959279
1976-09-01,0.0138978104
1976-10-01,0.0159905587
1976-11-01,0.0173530548
1976-12-01,0.0082526441
1977-01-01,0.0196009874
1977-02-01,-0.0042309893
1977-03-01,0.0065765711
1977-04-01,-0.0134329491
1977-05-01,-0.0148782114
1977-06-01,-0.0203738059
1977-07-01,-0.0135082734
1977-08-01,-0.0131062852
1977-09-01,-0.0201415313
1977-10-01,-0.0168448854
1977-11-01,-0.0163318094
1977-12-01,-0.015257907
1978-01-01,-0.0144109202
1978-02-01,-0.0191600333
1978-03-01,-0.0117089129
1978-04-01,-0.012924601
1978-05-01,-0.0014115978
1978-06-01,0.0123294093
1978-07-01,0.005169703
1978-08-01,0.0116332545
1978-09-01,0.0161253228
1978-10-01,0.009793431
1978-11-01,0.0094459534
1978-12-01,-0.0092441761
1979-01-01,0.0014078489
1979-02-01,0.0006780053
1979-03-01,0.0028134431
1979-04-01,0.0073064848
1979-05-01,0.008581187
1979-06-01,0.0098334359
1979-07-01,0.0108134383
1979-08-01,0.0121313166
1979-09-01,0.0114741037
1979-10-01,0.0098659688
1979-11-01,-0.0135952201
1979-12-01,0.0170473679
1980-01-01,0.0098182059
1980-02-01,0.0255527412
1980-03-01,-0.0130392104
1980-04-01,-0.0560412304
1980-05-01,-0.0153046777
1980-06-01,0.0834311416
1980-07-01,0.0409597653
1980-08-01,0.0518602171
1980-09-01,0.0277217084
1980-10-01,0.0035404569
1980-11-01,-0.0061717618
1980-12-01,-0.0141454257
1981-01-01,-0.0199686433
1981-02-01,0.0119173028
1981-03-01,0.0473420979
1981-04-01,0.0315593626
1981-05-01,0.0035182098
1981-06-01,-0.0171961135
1981-07-01,-0.0054986299
1981-08-01,-0.0086088256
1981-09-01,-0.0194455641
1981-10-01,-0.0177819388
1981-11-01,-0.0094002891
1981-12-01,0.0072919813
1982-01-01,-0.0023330939
1982-02-01,-0.0067647958
1982-03-01,-0.0089888216
1982-04-01,-0.0398520206
1982-05-01,-0.0169956623
1982-06-01,-0.0074019562
1982-07-01,-0.0134576078
1982-08-01,0.0048248316
1982-09-01,0.022656135
1982-10-01,0.0155360544
1982-11-01,0.0227985649
1982-12-01,0.044521935
1983-01-01,0.0327723543
1983-02-01,0.0399010576
1983-03-01,0.0124842068
1983-04-01,0.0159371585
1983-05-01,0.0167717632
1983-06-01,0.0190480156
1983-07-01,0.0117351319
1983-08-01,0.009695122
1983-09-01,0.0097872991
1983-10-01,0.0169253639
1983-11-01,0.0145961504
1983-12-01,0.0133036541
1984-01-01,0.0088439099
1984-02-01,-0.0068360592
1984-03-01,-0.0056026699
1984-04-01,-0.0146038644
1984-05-01,-0.0180807033
1984-06-01,-0.0147322867
1984-07-01,-0.0235141744
1984-08-01,-0.0159328257
1984-09-01,0.0013357078
1984-10-01,0.0155032149
1984-11-01,0.0291734779
1984-12-01,0.017642171
1985-01-01,0.0254635984
1985-02-01,0.0299129775
1985-03-01,0.0055141977
1985-04-01,0.0138512209
1985-05-01,0.0196926984
1985-06-01,0.0207965986
1985-07-01,0.0219537631
1985-08-01,0.0128064994
1985-09-01,0.0141031185
1985-10-01,0.0104927176
1985-11-01,0.0140281606
1985-12-01,0.0207330743
1986-01-01,0.0166524911
1986-02-01,0.0245213478
1986-03-01,0.013034892
1986-04-01,0.0231508759
1986-05-01,0.0218597734
1986-06-01,0.01635138
1986-07-01,0.0155716394
1986-08-01,0.0174750893
1986-09-01,0.02020299
1986-10-01,0.0127509755
1986-11-01,0.0153678715
1986-12-01,0.0157666489
1987-01-01,0.0069275341
1987-02-01,0.0194248279
1987-03-01,0.0253285896
1987-04-01,0.0162856868
1987-05-01,0.0126099191
1987-06-01,0.0106106958
1987-07-01,0.0199927344
1987-08-01,0.0162863989
1987-09-01,0.0151296565
1987-10-01,0.0054471694
1987-11-01,0.0004963403
1987-12-01,-0.0275728847
1988-01-01,-0.0134142336
1988-02-01,-0.0222328481
1988-03-01,0.0007150048
1988-04-01,-0.0121193181
1988-05-01,-0.0201440137
1988-06-01,-0.016833135
1988-07-01,-0.0067108191
1988-08-01,0.0039977247
1988-09-01,-0.0003521899
1988-10-01,0.0096940885
1988-11-01,0.0137565189
1988-12-01,0.0131396086
1989-01-01,0.0108623019
1989-02-01,0.0118452325
1989-03-01,0.0127939524
1989-04-01,0.0081751409
1989-05-01,0.016735789
1989-06-01,0.01668013
1989-07-01,0.0199126244
1989-08-01,0.0208099443
1989-09-01,0.0232051711
1989-10-01,0.0160061193
1989-11-01,0.0168806569
1989-12-01,0.0184104884
1990-01-01,0.0183642484
1990-02-01,0.0099942482
1990-03-01,-0.0030803219
1990-04-01,-0.0001389428
1990-05-01,-0.0094773956
1990-06-01,0.0182753998
1990-07-01,0.0151237499
1990-08-01,0.0118273393
1990-09-01,-0.0162389963
1990-10-01,-0.0272504357
1990-11-01,-0.0263145101
1990-12-01,-0.0116250721
1991-01-01,-0.0032066156
1991-02-01,0.0311703071
1991-03-01,0.0082770369
1991-04-01,0.028309429
1991-05-01,0.039207193
1991-06-01,0.0209001663
1991-07-01,0.0157025415
1991-08-01,0.0178260676
1991-09-01,0.0200087223
1991-10-01,0.0187410746
1991-11-01,0.0171450549
1991-12-01,0.0203215799
1992-01-01,0.0220597421
1992-02-01,0.014254693
1992-03-01,0.0233610841
1992-04-01,0.0147135181
1992-05-01,0.0165360372
1992-06-01,0.0139950517
1992-07-01,0.0134273384
1992-08-01,0.0203057386
1992-09-01,0.0134232689
1992-10-01,0.0113467719
1992-11-01,0.0162790353
1992-12-01,0.0132550829
1993-01-01,0.0174956423
1993-02-01,0.01204642
1993-03-01,0.0157802687
1993-04-01,0.0146398919
1993-05-01,0.0158944115
1993-06-01,0.0153466872
1993-07-01,0.0154836505
1993-08-01,0.0134375865
1993-09-01,0.0150274219
1993-10-01,0.0138924527
1993-11-01,0.0160205876
1993-12-01,0.0120578825
1994-01-01,0.014523452
1994-02-01,-0.0033151039
1994-03-01,0.0291646508
1994-04-01,-0.0119853612
1994-05-01,-0.0130127341
1994-06-01,-0.0160307091
1994-07-01,-0.0169312409
1994-08-01,-0.0050339898
1994-09-01,0.0091570507
1994-10-01,0.0072888107
1994-11-01,0.0078464104
1994-12-01,-0.0174607448
1995-01-01,-0.0074924203
1995-02-01,0.007308975
1995-03-01,0.0116175444
1995-04-01,0.0143635509
1995-05-01,0.0148367877
1995-06-01,0.0162863392
1995-07-01,0.0157461807
1995-08-01,0.0181448944
1995-09-01,0.0159576593
1995-10-01,0.0160280558
1995-11-01,0.0153065581
1995-12-01,0.0178555153
1996-01-01,0.0199214374
1996-02-01,0.0181330757
1996-03-01,0.0193944102
1996-04-01,0.0136148091
1996-05-01,0.015392105
1996-06-01,0.0155532463
1996-07-01,0.0147643034
1996-08-01,0.0103816474
1996-09-01,0.0181041083
1996-10-01,0.0145775018
1996-11-01,0.0155650057
1996-12-01,0.0165660414
1997-01-01,0.0142424846
1997-02-01,0.0164737711
1997-03-01,0.0174462759
1997-04-01,0.0114225089
1997-05-01,0.0110362102
1997-06-01,0.0205265666
1997-07-01,0.0174034114
1997-08-01,0.0188382751
1997-09-01,0.0147935381
1997-10-01,0.0155448349
1997-11-01,0.0153576526
1997-12-01,0.0158326604
1998-01-01,0.0172080613
1998-02-01,0.0144651655
1998-03-01,0.0194661233
1998-04-01,0.0185376825
1998-05-01,0.0177659392
1998-06-01,0.0145702529
1998-07-01,0.0139535058
1998-08-01,0.0185126572
1998-09-01,0.0007621232
1998-10-01,-0.0084222402
1998-11-01,0.0057028174
1998-12-01,0.0219569511
1999-01-01,0.0193272238
1999-02-01,0.0091737248
1999-03-01,0.0220470292
1999-04-01,0.0157896676
1999-05-01,0.0168363016
1999-06-01,0.0133745403
1999-07-01,0.0127516427
1999-08-01,0.0137751583
1999-09-01,0.0099736301
1999-10-01,0.0046423733
1999-11-01,0.0152320506
1999-12-01,0.0120031352
2000-01-01,0.0160336928
2000-02-01,0.0118781007
2000-03-01,0.0089655763
2000-04-01,0.0149259033
2000-05-01,0.0134833863
2000-06-01,0.0096858317
2000-07-01,0.013325976
2000-08-01,0.0111248012
2000-09-01,0.0146336873
2000-10-01,0.0024971619
2000-11-01,-0.0020713599
2000-12-01,-0.0158292801
2001-01-01,-0.0169827843
2001-02-01,-0.0140150999
2001-03-01,-0.0096229941
2001-04-01,-0.0177064439
2001-05-01,-0.0050544252
2001-06-01,0.001972681
2001-07-01,-0.0071094838
2001-08-01,-0.0059333973
2001-09-01,-0.0056808028
2001-10-01,-0.0071188768
2001-11-01,-0.0021096862
2001-12-01,0.0068267963
2002-01-01,0.008121086
2002-02-01,-0.0075942344
2002-03-01,-0.0145759839
2002-04-01,0.0045652691
2002-05-01,-0.0101290201
2002-06-01,-0.0163196033
2002-07-01,-0.0184554746
2002-08-01,-0.0231450867
2002-09-01,-0.0148255164
2002-10-01,-0.0187278506
2002-11-01,-0.0126294626
2002-12-01,-0.0010228085
2003-01-01,-0.0107444994
2003-02-01,-0.0301260331
2003-03-01,-0.004035973
2003-04-01,-0.0139923639
2003-05-01,0.0011184187
2003-06-01,0.0124714827
2003-07-01,0.0162361607
2003-08-01,0.0150919464
2003-09-01,0.0120229766
2003-10-01,0.0149159932
2003-11-01,0.0149633841
2003-12-01,0.0064611127
2004-01-01,0.0122185984
2004-02-01,0.0056105623
2004-03-01,0.0247888407
2004-04-01,0.0125734787
2004-05-01,0.0137996767
2004-06-01,0.0114486765
2004-07-01,0.0142580862
2004-08-01,0.0005583252
2004-09-01,0.0014293693
2004-10-01,0.0072392382
2004-11-01,0.006441813
2004-12-01,0.0153501725
2005-01-01,0.0138510924
2005-02-01,0.0037655172
2005-03-01,0.0210890413
2005-04-01,0.0125124463
2005-05-01,0.0072419262
2005-06-01,0.0123625419
2005-07-01,0.014727404
2005-08-01,0.0120936275
2005-09-01,0.0097569605
2005-10-01,0.0066652971
2005-11-01,0.0178967166
2005-12-01,0.0110675972
2006-01-01,0.0134166568
2006-02-01,0.0101364938
2006-03-01,0.0151503438
2006-04-01,0.0138461392
2006-05-01,0.012649278
2006-06-01,0.0121577862
2006-07-01,0.0119386034
2006-08-01,0.0013136351
2006-09-01,0.0116596093
2006-10-01,0.0152315992
2006-11-01,0.0149225085
2006-12-01,0.0167845478
2007-01-01,0.0155927295
2007-02-01,0.0260194122
2007-03-01,0.0040406963
2007-04-01,0.0127220477
2007-05-01,0.0171243229
2007-06-01,0.0165486309
2007-07-01,0.0144784995
2007-08-01,0.016649946
2007-09-01,0.0162616214
2007-10-01,0.0192020004
2007-11-01,0.0160324882
2007-12-01,0.0128717213
2008-01-01,-0.0034425445
2008-02-01,-0.0045194653
2008-03-01,-0.0278981542
2008-04-01,-0.0160596157
2008-05-01,-0.0089991304
2008-06-01,-0.0078798618
2008-07-01,-0.0149078302
2008-08-01,-0.0188371548
2008-09-01,-0.0106471235
2008-10-01,-0.0116161577
2008-11-01,-0.0006505821
2008-12-01,0.0087997745
2009-01-01,0.0235856458
2009-02-01,-0.034436761
2009-03-01,0.0317282531
2009-04-01,0.0050406918
2009-05-01,-0.0062831336
2009-06-01,-0.000849794
2009-07-01,0.011010381
2009-08-01,0.0300078145
2009-09-01,0.0074348208
2009-10-01,0.0049046148
2009-11-01,0.0153919311
2009-12-01,-0.0544889327
2010-01-01,-0.0024915943
2010-02-01,-0.0053138455
2010-03-01,0.0259388206
2010-04-01,0.0145928516
2010-05-01,0.0148442386
2010-06-01,0.0019956387
2010-07-01,-0.0101833879
2010-08-01,-0.0008537521
2010-09-01,-0.0068845689
2010-10-01,0.0120954043
2010-11-01,0.0149225085
2010-12-01,0.0160458779
2011-01-01,0.0157654441
2011-02-01,0.0159841993
2011-03-01,0.0157884159
2011-04-01,0.0134001729
2011-05-01,0.0158057694
2011-06-01,0.0148550868
2011-07-01,0.0117590575
2011-08-01,0.0129896567
2011-09-01,-0.0141679795
2011-10-01,-0.0140120252
2011-11-01,-0.0092071451
2011-12-01,-0.0067133496
2012-01-01,0.0018856642
2012-02-01,0.021096362
2012-03-01,0.009586785
2012-04-01,0.0157410436
2012-05-01,0.0150587818
2012-06-01,0.0025691271
2012-07-01,0.0107865696
2012-08-01,0.0136351072
2012-09-01,0.0174669066
2012-10-01,0.0171624989
2012-11-01,0.0147151553
2012-12-01,0.0127023705
2013-01-01,0.0161787796
2013-02-01,0.0166534692
2013-03-01,0.0166576164
2013-04-01,0.0163786715
2013-05-01,0.0148329503
2013-06-01,0.0174056305
2013-07-01,0.013493653
2013-08-01,0.0160737715
2013-09-01,0.0143392818
2013-10-01,0.0147839731
2013-11-01,0.0148137224
2013-12-01,0.0159958041
2014-01-01,0.0143168681
2014-02-01,0.0154494077
2014-03-01,0.0148077297
2014-04-01,0.0162918532
2014-05-01,0.0143547114
2014-06-01,0.0153329598
2014-07-01,0.0162739239
2014-08-01,0.0152890164
