date,forecast
1967-09-01,-0.0124554648
1967-10-01,-0.0128625109
1967-11-01,-0.0137326723
1967-12-01,-0.0154104267
1968-01-01,-0.0151552169
1968-02-01,-0.0134276471
1968-03-01,-0.0182599303
1968-04-01,-0.0145482994
1968-05-01,-0.0062138983
1968-06-01,0.0087959743
1968-07-01,0.01658112
1968-08-01,0.014968461
1968-09-01,0.0129946648
1968-10-01,0.0194338863
1968-11-01,0.0135082901
1968-12-01,0.017704998
1969-01-01,0.0130233111
1969-02-01,0.0037980999
1969-03-01,0.0023966068
1969-04-01,-0.005993318
1969-05-01,-0.0011485019
1969-06-01,-0.0034176553
1969-07-01,-0.0186721645
1969-08-01,-0.0127876102
1969-09-01,-0.0199163931
1969-10-01,-0.0149410446
1969-11-01,-0.0133991137
1969-12-01,-0.0297529844
1970-01-01,-0.0194890461
1970-02-01,-0.0173526266
1970-03-01,-0.0101663781
1970-04-01,0.0023866381
1970-05-01,-0.0190037087
1970-06-01,-0.0175828121
1970-07-01,-0.0076770605
1970-08-01,-0.0075844652
1970-09-01,-0.0107724935
1970-10-01,-0.0051734655
1970-11-01,-0.0056776673
1970-12-01,0.0389341318
1971-01-01,0.0488117684
1971-02-01,0.0234330372
1971-03-01,0.0227764532
1971-04-01,0.0166672901
1971-05-01,0.0121350558
1971-06-01,0.0084029784
1971-07-01,0.0101554833
1971-08-01,0.0062464057
1971-09-01,0.0072567166
1971-10-01,0.0061402983
1971-11-01,-0.0020536811
1971-12-01,-0.0128376595
1972-01-01,0.0162046061
1972-02-01,0.0225694721
1972-03-01,0.0195111939
1972-04-01,0.0101707952
1972-05-01,0.0112800129
1972-06-01,0.0125372458
1972-07-01,0.0124744834
1972-08-01,0.0126544067
1972-09-01,0.0140900735
1972-10-01,0.0126078501
1972-11-01,0.0130833649
1972-12-01,0.0160565178
1973-01-01,0.0123637181
1973-02-01,-0.0091227854
1973-03-01,0.0142265689
1973-04-01,-0.0104169964
1973-05-01,-0.0123509687
1973-06-01,-0.0235235998
1973-07-01,-0.0225083862
1973-08-01,-0.0342446422
1973-09-01,-0.016482215
1973-10-01,-0.0125595982
1973-11-01,0.0023333325
1973-12-01,-0.0181053978
1974-01-01,-0.0291817526
